iter	Passed	Remaining
0	1	188
1	3	166
2	4	160
3	6	152
4	7	149
5	9	143
6	10	140
7	11	135
8	13	131
9	14	128
10	15	126
11	16	123
12	18	121
13	19	119
14	20	115
15	21	112
16	22	109
17	23	105
18	24	102
19	24	99
20	25	95
21	26	92
22	26	89
23	27	86
24	27	83
25	28	81
26	29	78
27	29	76
28	30	73
29	30	71
30	31	69
31	31	67
32	32	65
33	32	63
34	33	62
35	34	60
36	34	58
37	35	57
38	35	55
39	36	54
40	36	53
41	37	51
42	37	49
43	38	48
44	38	47
45	39	46
46	39	45
47	40	43
48	41	42
49	41	41
50	42	40
51	42	39
52	43	38
53	43	37
54	44	36
55	44	35
56	45	34
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	58	14
80	59	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	4
93	66	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	69	0
